trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14142F165099:2021-03-09T18:51:45Z,13:27:00,13:29:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14142F165099:2021-03-09T18:51:45Z,14:29:00,14:29:00,StopPoint:OCEINTERCITES-87611004,2,,1,0,
OCESN14142F246937:2021-03-09T18:51:45Z,10:17:00,10:17:00,StopPoint:OCEINTERCITES-87677005,0,,0,1,
OCESN14142F246937:2021-03-09T18:51:45Z,10:28:00,10:29:00,StopPoint:OCEINTERCITES-87677120,1,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,10:39:00,10:40:00,StopPoint:OCEINTERCITES-87673400,2,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,10:52:00,11:02:00,StopPoint:OCEINTERCITES-87673004,3,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,11:43:00,11:45:00,StopPoint:OCEINTERCITES-87672253,4,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,12:07:00,12:10:00,StopPoint:OCEINTERCITES-87672006,5,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,12:35:00,12:38:00,StopPoint:OCEINTERCITES-87671339,6,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,12:51:00,12:54:00,StopPoint:OCEINTERCITES-87671008,7,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,13:27:00,13:29:00,StopPoint:OCEINTERCITES-87611152,8,,0,0,
OCESN14142F246937:2021-03-09T18:51:45Z,14:29:00,14:29:00,StopPoint:OCEINTERCITES-87611004,9,,1,0,
OCESN14143F132939:2021-03-07T18:51:13Z,11:37:00,11:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14143F132939:2021-03-07T18:51:13Z,12:29:00,12:32:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14143F132939:2021-03-07T18:51:13Z,13:13:00,13:17:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14143F132939:2021-03-07T18:51:13Z,13:31:00,13:35:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14143F132939:2021-03-07T18:51:13Z,14:02:00,14:06:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14143F132939:2021-03-07T18:51:13Z,14:32:00,14:35:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14143F132939:2021-03-07T18:51:13Z,15:28:00,15:28:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14143F166167:2021-03-08T18:51:30Z,11:37:00,11:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14143F166167:2021-03-08T18:51:30Z,12:29:00,12:32:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14143F166167:2021-03-08T18:51:30Z,13:13:00,13:17:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14143F166167:2021-03-08T18:51:30Z,13:30:00,13:34:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14143F166167:2021-03-08T18:51:30Z,14:02:00,14:06:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14143F166167:2021-03-08T18:51:30Z,14:27:00,14:30:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14143F166167:2021-03-08T18:51:30Z,15:20:00,15:20:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14148F113190:2021-03-08T18:51:30Z,16:45:00,16:45:00,StopPoint:OCEINTERCITES-87671008,0,,0,1,
OCESN14148F113190:2021-03-08T18:51:30Z,17:09:00,17:12:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14148F113190:2021-03-08T18:51:30Z,18:27:00,18:27:00,StopPoint:OCEINTERCITES-87611004,2,,1,0,
OCESN14148F158279:2021-03-09T18:51:45Z,16:47:00,16:47:00,StopPoint:OCEINTERCITES-87671008,0,,0,1,
OCESN14148F158279:2021-03-09T18:51:45Z,17:10:00,17:12:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14148F158279:2021-03-09T18:51:45Z,18:27:00,18:27:00,StopPoint:OCEINTERCITES-87611004,2,,1,0,
OCESN14148F249198:2021-03-09T18:51:45Z,14:38:00,14:38:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14148F249198:2021-03-09T18:51:45Z,15:27:00,15:29:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14148F249198:2021-03-09T18:51:45Z,15:52:00,15:56:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14148F249198:2021-03-09T18:51:45Z,16:23:00,16:27:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14148F249198:2021-03-09T18:51:45Z,16:41:00,16:45:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14148F249198:2021-03-09T18:51:45Z,17:09:00,17:12:00,StopPoint:OCEINTERCITES-87671123,5,,0,0,
OCESN14148F249198:2021-03-09T18:51:45Z,18:27:00,18:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14148F250593:2021-03-09T18:51:45Z,14:50:00,14:50:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14148F250593:2021-03-09T18:51:45Z,15:35:00,15:37:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14148F250593:2021-03-09T18:51:45Z,15:59:00,16:02:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14148F250593:2021-03-09T18:51:45Z,16:27:00,16:30:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14148F250593:2021-03-09T18:51:45Z,16:44:00,16:47:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14148F250593:2021-03-09T18:51:45Z,17:10:00,17:12:00,StopPoint:OCEINTERCITES-87671123,5,,0,0,
OCESN14148F250593:2021-03-09T18:51:45Z,18:27:00,18:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14150F220610:2021-03-09T18:51:45Z,16:21:00,16:21:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14150F220610:2021-03-09T18:51:45Z,17:13:00,17:16:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14150F220610:2021-03-09T18:51:45Z,17:42:00,17:48:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14150F220610:2021-03-09T18:51:45Z,18:16:00,18:22:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14150F220610:2021-03-09T18:51:45Z,18:35:00,18:41:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14150F220610:2021-03-09T18:51:45Z,19:23:00,19:26:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14150F220610:2021-03-09T18:51:45Z,20:27:00,20:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14150F276472:2021-03-09T18:51:45Z,16:21:00,16:21:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14150F276472:2021-03-09T18:51:45Z,17:13:00,17:16:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14150F276472:2021-03-09T18:51:45Z,17:42:00,17:48:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14150F276472:2021-03-09T18:51:45Z,18:16:00,18:22:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14150F276472:2021-03-09T18:51:45Z,18:35:00,18:41:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14150F276472:2021-03-09T18:51:45Z,19:23:00,19:26:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14150F276472:2021-03-09T18:51:45Z,20:27:00,20:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14151F130692:2021-03-09T18:51:45Z,13:37:00,13:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14151F130692:2021-03-09T18:51:45Z,14:28:00,14:30:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14151F130692:2021-03-09T18:51:45Z,15:10:00,15:13:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14151F130692:2021-03-09T18:51:45Z,15:27:00,15:30:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14151F130692:2021-03-09T18:51:45Z,15:55:00,15:58:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14151F130692:2021-03-09T18:51:45Z,16:20:00,16:22:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14151F130692:2021-03-09T18:51:45Z,17:15:00,17:15:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14151F236566:2021-03-09T18:51:45Z,13:37:00,13:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14151F236566:2021-03-09T18:51:45Z,14:28:00,14:30:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14151F236566:2021-03-09T18:51:45Z,15:10:00,15:13:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14151F236566:2021-03-09T18:51:45Z,15:27:00,15:30:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14151F236566:2021-03-09T18:51:45Z,15:55:00,15:58:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14151F236566:2021-03-09T18:51:45Z,16:20:00,16:22:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14151F236566:2021-03-09T18:51:45Z,17:11:00,17:11:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14151F249108:2021-03-09T18:51:45Z,13:36:00,13:36:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14151F249108:2021-03-09T18:51:45Z,14:29:00,14:31:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14151F249108:2021-03-09T18:51:45Z,15:12:00,15:16:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14151F249108:2021-03-09T18:51:45Z,15:29:00,15:32:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14151F249108:2021-03-09T18:51:45Z,15:58:00,16:02:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14151F249108:2021-03-09T18:51:45Z,16:25:00,16:27:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14151F249108:2021-03-09T18:51:45Z,17:41:00,17:41:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14155F163450:2021-03-03T18:51:00Z,16:37:00,16:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14155F163450:2021-03-03T18:51:00Z,17:47:00,17:49:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14155F163450:2021-03-03T18:51:00Z,18:12:00,18:12:00,StopPoint:OCEINTERCITES-87671008,2,,1,0,
OCESN14155F272476:2021-03-09T18:51:45Z,16:37:00,16:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14155F272476:2021-03-09T18:51:45Z,17:48:00,17:50:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,18:12:00,18:15:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,18:29:00,18:32:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,18:58:00,19:01:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,19:23:00,19:25:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,20:14:00,20:24:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,20:34:00,20:35:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,20:50:00,20:51:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14155F272476:2021-03-09T18:51:45Z,21:04:00,21:04:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F166001:2021-03-08T18:51:30Z,17:38:00,17:38:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F166001:2021-03-08T18:51:30Z,18:47:00,18:49:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F166001:2021-03-08T18:51:30Z,19:12:00,19:12:00,StopPoint:OCEINTERCITES-87671008,2,,1,0,
OCESN14157F227546:2021-03-09T18:51:45Z,17:05:00,17:05:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F227546:2021-03-09T18:51:45Z,18:34:00,18:36:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,18:59:00,19:02:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,19:15:00,19:18:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,19:44:00,19:49:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,20:13:00,20:15:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,21:06:00,21:16:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,21:24:00,21:25:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,21:38:00,21:39:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F227546:2021-03-09T18:51:45Z,21:50:00,21:50:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F249211:2021-03-05T18:50:34Z,17:38:00,17:38:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F249211:2021-03-05T18:50:34Z,18:47:00,18:49:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,19:12:00,19:17:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,19:36:00,19:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,20:05:00,20:10:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,20:41:00,20:45:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,21:32:00,21:41:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,21:50:00,21:51:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,22:04:00,22:05:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F249211:2021-03-05T18:50:34Z,22:16:00,22:16:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN15940F235901:2021-03-09T18:51:45Z,14:45:00,14:45:00,StopPoint:OCEINTERCITES-87645507,0,,0,1,
OCESN15940F235901:2021-03-09T18:51:45Z,15:06:00,15:07:00,StopPoint:OCEINTERCITES-87734871,1,,0,0,
