service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20210221,20210522
000002,0,0,0,0,0,0,0,20210221,20210522
000003,0,0,0,0,0,0,0,20210221,20210522
000004,0,0,0,0,0,0,0,20210221,20210522
000005,0,0,0,0,0,0,0,20210221,20210522
000006,0,0,0,0,0,0,0,20210221,20210522
000007,0,0,0,0,0,0,0,20210221,20210522
000008,0,0,0,0,0,0,0,20210221,20210522
000009,0,0,0,0,0,0,0,20210221,20210522
000010,0,0,0,0,0,0,0,20210221,20210522
000011,0,0,0,0,0,0,0,20210221,20210522
000012,0,0,0,0,0,0,0,20210221,20210522
000013,0,0,0,0,0,0,0,20210221,20210522
000014,0,0,0,0,0,0,0,20210221,20210522
000015,0,0,0,0,0,0,0,20210221,20210522
000016,0,0,0,0,0,0,0,20210221,20210522
000017,0,0,0,0,0,0,0,20210221,20210522
000018,0,0,0,0,0,0,0,20210221,20210522
000019,0,0,0,0,0,0,0,20210221,20210522
000020,0,0,0,0,0,0,0,20210221,20210522
000021,0,0,0,0,0,0,0,20210221,20210522
000022,0,0,0,0,0,0,0,20210221,20210522
000023,0,0,0,0,0,0,0,20210221,20210522
000024,0,0,0,0,0,0,0,20210221,20210522
000025,0,0,0,0,0,0,0,20210221,20210522
000026,0,0,0,0,0,0,0,20210221,20210522
000027,0,0,0,0,0,0,0,20210221,20210522
000028,0,0,0,0,0,0,0,20210221,20210522
000029,0,0,0,0,0,0,0,20210221,20210522
000030,0,0,0,0,0,0,0,20210221,20210522
000031,0,0,0,0,0,0,0,20210221,20210522
000032,0,0,0,0,0,0,0,20210221,20210522
000033,0,0,0,0,0,0,0,20210221,20210522
000034,0,0,0,0,0,0,0,20210221,20210522
000035,0,0,0,0,0,0,0,20210221,20210522
000036,0,0,0,0,0,0,0,20210221,20210522
000037,0,0,0,0,0,0,0,20210221,20210522
000038,0,0,0,0,0,0,0,20210221,20210522
000039,0,0,0,0,0,0,0,20210221,20210522
000040,0,0,0,0,0,0,0,20210221,20210522
000041,0,0,0,0,0,0,0,20210221,20210522
000042,0,0,0,0,0,0,0,20210221,20210522
000043,0,0,0,0,0,0,0,20210221,20210522
000044,0,0,0,0,0,0,0,20210221,20210522
000045,0,0,0,0,0,0,0,20210221,20210522
000046,0,0,0,0,0,0,0,20210221,20210522
000047,0,0,0,0,0,0,0,20210221,20210522
000048,0,0,0,0,0,0,0,20210221,20210522
000049,0,0,0,0,0,0,0,20210221,20210522
000050,0,0,0,0,0,0,0,20210221,20210522
000051,0,0,0,0,0,0,0,20210221,20210522
000052,0,0,0,0,0,0,0,20210221,20210522
000053,0,0,0,0,0,0,0,20210221,20210522
000054,0,0,0,0,0,0,0,20210221,20210522
000055,0,0,0,0,0,0,0,20210221,20210522
000056,0,0,0,0,0,0,0,20210221,20210522
000057,0,0,0,0,0,0,0,20210221,20210522
000058,0,0,0,0,0,0,0,20210221,20210522
000059,0,0,0,0,0,0,0,20210221,20210522
000060,0,0,0,0,0,0,0,20210221,20210522
000061,0,0,0,0,0,0,0,20210221,20210522
000062,0,0,0,0,0,0,0,20210221,20210522
000063,0,0,0,0,0,0,0,20210221,20210522
000064,0,0,0,0,0,0,0,20210221,20210522
000065,0,0,0,0,0,0,0,20210221,20210522
000066,0,0,0,0,0,0,0,20210221,20210522
000067,0,0,0,0,0,0,0,20210221,20210522
000068,0,0,0,0,0,0,0,20210221,20210522
000069,0,0,0,0,0,0,0,20210221,20210522
000070,0,0,0,0,0,0,0,20210221,20210522
000071,0,0,0,0,0,0,0,20210221,20210522
000072,0,0,0,0,0,0,0,20210221,20210522
000073,0,0,0,0,0,0,0,20210221,20210522
000074,0,0,0,0,0,0,0,20210221,20210522
000075,0,0,0,0,0,0,0,20210221,20210522
000076,0,0,0,0,0,0,0,20210221,20210522
000077,0,0,0,0,0,0,0,20210221,20210522
000078,0,0,0,0,0,0,0,20210221,20210522
000079,0,0,0,0,0,0,0,20210221,20210522
000080,0,0,0,0,0,0,0,20210221,20210522
000081,0,0,0,0,0,0,0,20210221,20210522
000082,0,0,0,0,0,0,0,20210221,20210522
000083,0,0,0,0,0,0,0,20210221,20210522
000084,0,0,0,0,0,0,0,20210221,20210522
000085,0,0,0,0,0,0,0,20210221,20210522
000086,0,0,0,0,0,0,0,20210221,20210522
000087,0,0,0,0,0,0,0,20210221,20210522
000088,0,0,0,0,0,0,0,20210221,20210522
000089,0,0,0,0,0,0,0,20210221,20210522
000090,0,0,0,0,0,0,0,20210221,20210522
000091,0,0,0,0,0,0,0,20210221,20210522
000092,0,0,0,0,0,0,0,20210221,20210522
000093,0,0,0,0,0,0,0,20210221,20210522
000094,0,0,0,0,0,0,0,20210221,20210522
000095,0,0,0,0,0,0,0,20210221,20210522
000096,0,0,0,0,0,0,0,20210221,20210522
000097,0,0,0,0,0,0,0,20210221,20210522
000098,0,0,0,0,0,0,0,20210221,20210522
000099,0,0,0,0,0,0,0,20210221,20210522
000100,0,0,0,0,0,0,0,20210221,20210522
000101,0,0,0,0,0,0,0,20210221,20210522
000102,0,0,0,0,0,0,0,20210221,20210522
000103,0,0,0,0,0,0,0,20210221,20210522
000104,0,0,0,0,0,0,0,20210221,20210522
000105,0,0,0,0,0,0,0,20210221,20210522
000106,0,0,0,0,0,0,0,20210221,20210522
000107,0,0,0,0,0,0,0,20210221,20210522
000108,0,0,0,0,0,0,0,20210221,20210522
