ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_2;2014-02;RER;B;RER B;88.9;8.0
TRA_5;2014-02;RER;E;RER E;95.0;19.0
TRA_8;2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4
TRA_9;2014-02;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9
TRA_11;2014-02;Transilien;P;Paris Est;90.4;9.4
TRA_7;2014-03;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8
TRA_3;2014-04;RER;C;RER C;91.6;10.9
TRA_11;2014-04;Transilien;P;Paris Est;87.9;7.3
TRA_13;2014-04;Transilien;U;La Verrière - La Défense;94.5;17.2
TRA_1;2014-05;RER;A;RER A;87.6;7.1
TRA_4;2014-05;RER;D;RER D;85.9;6.1
TRA_10;2014-05;Transilien;N;Paris Montparnasse;96.1;24.6
TRA_11;2014-05;Transilien;P;Paris Est;92.7;12.7
TRA_9;2014-06;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
TRA_9;2014-07;Transilien;L;Paris Saint-Lazare Sud;85.5;5.9
TRA_1;2014-08;RER;A;RER A;81.2;4.3
TRA_5;2014-08;RER;E;RER E;96.0;24.0
TRA_7;2014-09;Transilien;J;Paris Saint-Lazare Nord;84.6;5.5
TRA_11;2014-09;Transilien;P;Paris Est;93.5;14.4
TRA_12;2014-09;Transilien;R;Paris Sud Est;88.9;8.0
TRA_3;2014-10;RER;C;RER C;84.1;5.3
TRA_13;2014-10;Transilien;U;La Verrière - La Défense;93.6;14.6
TRA_8;2014-11;Transilien;K;Paris Nord Crépy;84.5732734419;5.5
TRA_12;2014-11;Transilien;R;Paris Sud Est;84.8763888061;5.6
TRA_3;2014-12;RER;C;RER C;89.3;8.3
TRA_5;2014-12;RER;E;RER E;92.7;12.7
TRA_13;2014-12;Transilien;U;La Verrière - La Défense;91.8;11.2
TRA_2;2015-01;RER;B;RER B;88.5;7.7
TRA_8;2015-01;Transilien;K;Paris Nord Crépy;87.1798892246;6.8
TRA_13;2015-01;Transilien;U;La Verrière - La Défense;94.6733138523;17.8
TRA_2;2015-02;RER;B;RER B;85.3965470191;5.8
TRA_3;2015-02;RER;C;RER C;91.6087087474;10.9
TRA_8;2015-02;Transilien;K;Paris Nord Crépy;85.0869749682;5.7
TRA_12;2015-02;Transilien;R;Paris Sud Est;91.2221584141;10.4
TRA_2;2015-03;RER;B;RER B;89.8537787545;8.9
TRA_12;2015-03;Transilien;R;Paris Sud Est;90.3490746305;9.4
TRA_13;2015-03;Transilien;U;La Verrière - La Défense;95.9220368347;23.5
TRA_1;2015-04;RER;A;RER A;71.9766560096;2.6
TRA_6;2015-04;Transilien;H;Paris Nord Ouest;95.0794493186;19.3
TRA_7;2015-04;Transilien;J;Paris Saint-Lazare Nord;90.7900630753;9.9
TRA_11;2015-04;Transilien;P;Paris Est;87.9561752108;7.3
TRA_1;2015-05;RER;A;RER A;71.2171208681;2.5
TRA_6;2015-05;Transilien;H;Paris Nord Ouest;95.9381245311;23.6
TRA_7;2015-05;Transilien;J;Paris Saint-Lazare Nord;90.9248180007;10.0
TRA_1;2015-06;RER;A;RER A;71.1496303121;2.5
TRA_2;2015-06;RER;B;RER B;84.9707913192;5.7
TRA_3;2015-06;RER;C;RER C;86.1727621706;6.2
TRA_2;2015-07;RER;B;RER B;90.9;10.0
TRA_2;2015-08;RER;B;RER B;92.9183310249;13.1
TRA_3;2015-08;RER;C;RER C;93.1;13.5
TRA_5;2015-09;RER;E;RER E;89.9032780408;8.9
TRA_6;2015-09;Transilien;H;Paris Nord Ouest;95.6576604528;22.0
TRA_9;2015-09;Transilien;L;Paris Saint-Lazare Sud;84.1866891555;5.3
TRA_11;2015-09;Transilien;P;Paris Est;86.0544987829;6.2
TRA_12;2015-09;Transilien;R;Paris Sud Est;89.616676579;8.6
TRA_13;2015-09;Transilien;U;La Verrière - La Défense;92.7861789817;12.9
TRA_2;2015-10;RER;B;RER B;89.9826892571;9.0
TRA_6;2015-10;Transilien;H;Paris Nord Ouest;93.5113331828;14.4
TRA_7;2015-11;Transilien;J;Paris Saint-Lazare Nord;88.3;7.5
TRA_10;2015-11;Transilien;N;Paris Montparnasse;88.5;7.7
TRA_11;2015-11;Transilien;P;Paris Est;87.9;7.3
TRA_3;2015-12;RER;C;RER C;90.3;9.3
TRA_9;2015-12;Transilien;L;Paris Saint-Lazare Sud;88.1;7.4
TRA_10;2015-12;Transilien;N;Paris Montparnasse;92.6;12.5
TRA_3;2016-01;RER;C;RER C;89.9;8.9
TRA_6;2016-01;Transilien;H;Paris Nord Ouest;95.7;22.3
TRA_10;2016-01;Transilien;N;Paris Montparnasse;92.1;11.7
TRA_5;2016-02;RER;E;RER E;93.1;13.5
TRA_10;2016-02;Transilien;N;Paris Montparnasse;93.7;14.9
TRA_13;2016-02;Transilien;U;La Verrière - La Défense;96.8;30.3
TRA_8;2016-03;Transilien;K;Paris Nord Crépy;85.8;6.0
TRA_9;2016-04;Transilien;L;Paris Saint-Lazare Sud;89.4;8.4
TRA_4;2016-05;RER;D;RER D;85.7;6.0
TRA_6;2016-05;Transilien;H;Paris Nord Ouest;96.1;24.6
TRA_3;2016-06;RER;C;RER C;88.1;7.4
