ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_5;2016-06;RER;E;RER E;93.0;13.3
TRA_7;2016-06;Transilien;J;Paris Saint-Lazare Nord;90.5;9.5
TRA_9;2016-07;Transilien;L;Paris Saint-Lazare Sud;87.6;7.1
TRA_11;2016-07;Transilien;P;Paris Est;86.4;6.4
TRA_1;2016-08;RER;A;RER A;82.3;4.6
TRA_2;2016-08;RER;B;RER B;93.19;13.7
TRA_3;2016-08;RER;C;RER C;90.3;9.3
TRA_10;2016-08;Transilien;N;Paris Montparnasse;92.0;11.5
TRA_13;2016-08;Transilien;U;La Verrière - La Défense;93.2;13.7
TRA_4;2016-09;RER;D;RER D;85.8;6.0
TRA_11;2016-09;Transilien;P;Paris Est;93.0;13.3
TRA_5;2016-10;RER;E;RER E;93.0;13.3
TRA_9;2016-10;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
TRA_12;2016-10;Transilien;R;Paris Sud Est;83.1;4.9
TRA_4;2016-11;RER;D;RER D;83.4;5.0
TRA_6;2016-11;Transilien;H;Paris Nord Ouest;94.4;16.9
TRA_11;2016-11;Transilien;P;Paris Est;87.7;7.1
TRA_5;2016-12;RER;E;RER E;94.0;15.7
TRA_6;2016-12;Transilien;H;Paris Nord Ouest;58.1;1.4
TRA_10;2016-12;Transilien;N;Paris Montparnasse;90.1;9.1
TRA_1;2017-01;RER;A;RER A;68.25;2.1
TRA_2;2017-01;RER;B;RER B;87.8;7.2
TRA_3;2017-01;RER;C;RER C;87.3;6.9
TRA_4;2017-01;RER;D;RER D;85.2;5.8
TRA_5;2017-01;RER;E;RER E;92.3;12.0
TRA_8;2017-01;Transilien;K;Paris Nord Crépy;95.7;22.3
TRA_4;2017-02;RER;D;RER D;87.0;6.7
TRA_7;2017-02;Transilien;J;Paris Saint-Lazare Nord;92.5;12.3
TRA_13;2017-02;Transilien;U;La Verrière - La Défense;95.5;21.2
TRA_2;2017-03;RER;B;RER B;83.8;5.2
TRA_11;2017-03;Transilien;P;Paris Est;93.2;13.7
TRA_8;2017-04;Transilien;K;Paris Nord Crépy;93.4;14.2
TRA_10;2017-04;Transilien;N;Paris Montparnasse;93.9;15.4
TRA_1;2017-05;RER;A;RER A;70.8893011536;2.4
TRA_11;2017-05;Transilien;P;Paris Est;91.4415476651;10.7
TRA_4;2017-06;RER;D;RER D;82.9617086881;4.9
TRA_6;2017-06;Transilien;H;Paris Nord Ouest;86.4355340957;6.4
TRA_7;2017-06;Transilien;J;Paris Saint-Lazare Nord;89.8792879594;8.9
TRA_1;2017-07;RER;A;RER A;70.8349543263;2.4
TRA_4;2017-07;RER;D;RER D;83.4973387817;5.1
TRA_6;2017-07;Transilien;H;Paris Nord Ouest;93.3076468551;13.9
TRA_7;2017-07;Transilien;J;Paris Saint-Lazare Nord;91.2108657387;10.4
TRA_13;2017-07;Transilien;U;La Verrière - La Défense;92.5902909661;12.5
